"start_node","end_node","weight","start_node_degree","end_node_degree"
"chr1:43170982","chr1:43180857",3,3,1
"chr1:43170982","chr1:43202861",1,3,3
"chr1:43181033","chr1:43192235",9,1,1
"chr1:43200851","chr1:43251750",1,2,1
"chr1:43200851","chr1:43306362",4,2,1
"chr1:43593743","chr1:43624873",1,1,1
"chr1:43799725","chr1:43804049",5,1,1
"chr1:43836466","chr1:43841691",1,1,1
"chr1:43846538","chr1:43865896",3,3,3
"chr1:43846538","chr1:43866774",8,3,1
"chr1:44130752","chr1:44139007",13,2,3
"chr1:44159435","chr1:44165425",2,1,1
"chr1:45841290","chr1:45843036",70,1,1
"chr1:45843162","chr1:45844054",1,2,1
"chr1:45843162","chr1:45844536",12,2,1
"chr1:46875312","chr1:46892630",37,1,1
"chr1:50969818","chr1:50971094",1,3,1
"chr1:50969818","chr1:50977324",2,3,1
"chr1:50969818","chr1:50977371",260,3,1
"chr1:51110724","chr1:51171301",17,1,1
"chr1:51172278","chr1:51219410",5,1,1
"chr1:51221055","chr1:51224543",431,2,1
"chr1:51221055","chr1:51262346",1,2,1
"chr1:51333607","chr1:51339790",4,6,1
"chr1:51333607","chr1:51363592",1,6,1
"chr1:51333607","chr1:51368962",1,6,1
"chr1:51333607","chr1:51371742",4,6,1
"chr1:51333607","chr1:51372842",1,6,2
"chr1:51516776","chr1:51517446",1,2,1
"chr1:51516776","chr1:51517530",2,2,1
"chr1:51806068","chr1:51807808",4,3,1
"chr1:51806068","chr1:51808162",2,3,3
"chr1:52047888","chr1:52050941",3,3,1
"chr1:52047888","chr1:52052948",1,3,2
"chr1:52239047","chr1:52246459",3,2,3
"chr1:52254854","chr1:52258646",2,1,1
"chr1:52748915","chr1:52765868",1,2,1
"chr1:52748915","chr1:52766181",7,2,1
"chr1:53236462","chr1:53245720",7,2,1
"chr1:53236462","chr1:53255345",1,2,1
"chr1:53344766","chr1:53347985",2,2,1
"chr1:53344766","chr1:53354014",1,2,1
"chr1:53354259","chr1:53357060",4,4,1
"chr1:53354259","chr1:53357065",1,4,1
"chr1:53354259","chr1:53359101",6,4,4
"chr1:53360370","chr1:53360654",5,6,1
"chr1:53360370","chr1:53362183",1,6,1
"chr1:53360370","chr1:53362325",23,6,3
"chr1:53360370","chr1:53365162",3,6,4
"chr1:53365617","chr1:53367227",1,3,1
"chr1:53365617","chr1:53369370",6,3,2
"chr1:54395528","chr1:54434427",1,1,1
"chr1:55053722","chr1:55055534",16,2,3
"chr1:55122967","chr1:55123691",27,1,1
"chr1:55126101","chr1:55126937",21,2,1
"chr1:55126101","chr1:55127147",37,2,1
"chr1:55127572","chr1:55128209",69,1,1
"chr1:55128375","chr1:55130267",1,2,3
"chr1:55129962","chr1:55130213",2,3,1
"chr1:55129962","chr1:55130228",17402,3,1
"chr1:55129962","chr1:55130245",7,3,1
"chr1:55445790","chr1:55734903",1,1,1
"chr1:57010931","chr1:57013416",1,2,1
"chr1:57010931","chr1:57043312",1,2,1
"chr1:57262738","chr1:57265219",1,6,1
"chr1:57262738","chr1:57271725",1,6,1
"chr1:57262738","chr1:57273404",1,6,1
"chr1:57262738","chr1:57306244",1,6,1
"chr1:57262738","chr1:57310155",1,6,1
"chr1:57262738","chr1:57310373",1,6,1
"chr1:57451009","chr1:57452398",10,1,1
"chr1:57838514","chr1:57871211",40,2,2
"chr1:58006883","chr1:58008565",1,2,1
"chr1:58006883","chr1:58009179",2,2,1
"chr1:58460468","chr1:58460932",10,1,1
"chr1:58473609","chr1:58477123",1,4,1
"chr1:58473609","chr1:58477502",21,4,1
"chr1:58473609","chr1:58480001",2,4,3
"chr1:58481759","chr1:58483747",2,1,1
"chr1:58483799","chr1:58484304",3,2,1
"chr1:58483799","chr1:58484597",1,2,1
"chr1:58536625","chr1:58539399",33,3,1
"chr1:58536625","chr1:58540481",1,3,3
"chr1:58569419","chr1:58574548",2,2,3
"chr1:58597217","chr1:58605015",2,1,1
"chr1:58605114","chr1:58625261",2,3,1
"chr1:58605114","chr1:58625370",173,3,2
"chr1:58625830","chr1:58630248",85,4,4
"chr1:58625830","chr1:58634807",34,4,5
"chr1:58626888","chr1:58630248",1,4,4
"chr1:58626888","chr1:58634807",2,4,5
"chr1:58691849","chr1:58694103",3,2,1
"chr1:58691849","chr1:58705872",2,2,1
"chr1:58752819","chr1:58756418",3,2,1
"chr1:58752819","chr1:58761487",1,2,1
"chr1:58960312","chr1:58960838",3,1,1
"chr1:59027787","chr1:59028848",8,1,1
"chr1:59157166","chr1:59158861",1,3,1
"chr1:59157166","chr1:59159110",1,3,1
"chr1:59157166","chr1:59159155",1,3,1
"chr1:59625854","chr1:59658366",1,2,1
"chr1:59625854","chr1:59658565",1,2,1
"chr1:59681649","chr1:59683675",35,1,1
"chr1:59683754","chr1:59691930",1,3,1
"chr1:59683754","chr1:59694616",35,3,3
"chr1:59724386","chr1:59729644",111,3,1
"chr1:59724386","chr1:59731495",1,3,4
"chr1:59729722","chr1:59731495",29,2,4
"chr1:59731549","chr1:59731770",1,3,1
"chr1:59731549","chr1:59735136",1,3,2
"chr1:59744916","chr1:59745791",38,1,1
"chr1:59746224","chr1:59748161",49,3,1
"chr1:59746224","chr1:59750429",6,3,3
"chr1:59824270","chr1:59827843",1,1,1
"chr1:59907775","chr1:59909393",26,3,1
"chr1:59907775","chr1:59909396",4,3,1
"chr1:59907775","chr1:59916413",1,3,1
"chr1:60047066","chr1:60049267",7,1,1
"chr1:60067396","chr1:60081782",1,3,1
"chr1:60067396","chr1:60081955",3,3,2
"chr1:60127316","chr1:60128410",5,1,1
"chr1:60147360","chr1:60148380",1,2,2
"chr1:60220914","chr1:60233662",29,1,1
"chr1:60476392","chr1:60478100",3,1,1
"chr1:60483242","chr1:60486418",4,4,1
"chr1:60483242","chr1:60487236",4,4,2
"chr1:60483242","chr1:60487239",2,4,1
"chr1:60492922","chr1:60503687",3,3,1
"chr1:60492922","chr1:60509824",16,3,4
"chr1:60503775","chr1:60509824",4,3,4
"chr1:60503775","chr1:60509830",2,3,1
"chr1:60509999","chr1:60510599",7,2,1
"chr1:60509999","chr1:60515898",3,2,1
"chr1:60522500","chr1:60526746",1,2,1
"chr1:60522500","chr1:60527358",137,2,1
"chr1:60549651","chr1:60558138",1,3,1
"chr1:60549651","chr1:60564750",2,3,3
"chr1:62726531","chr1:62730375",2,3,1
"chr1:62726531","chr1:62739402",1,3,3
"chr1:62743437","chr1:62743952",2,4,1
"chr1:62743437","chr1:62749221",1,4,1
"chr1:62743437","chr1:62749224",1,4,1
"chr1:62743437","chr1:62758088",3,4,1
"chr1:63143408","chr1:63151166",1,3,1
"chr1:63143408","chr1:63151933",1,3,1
"chr1:63143408","chr1:63191197",1,3,1
"chr1:63143410","chr1:63153149",1,2,1
"chr1:63143410","chr1:63188049",1,2,1
"chr1:63153704","chr1:63153790",1,3,1
"chr1:63153704","chr1:63183277",1,3,4
"chr1:63154120","chr1:63154241",1,4,1
"chr1:63154120","chr1:63178734",1,4,1
"chr1:63154120","chr1:63183277",2,4,4
"chr1:63210074","chr1:63215586",1,4,3
"chr1:63210074","chr1:63215744",3,4,3
"chr1:63216451","chr1:63216881",1,3,1
"chr1:63216451","chr1:63216912",49,3,2
"chr1:63217036","chr1:63217581",1,2,1
"chr1:63217036","chr1:63217597",32,2,1
"chr1:63218058","chr1:63218406",804,1,1
"chr1:63289732","chr1:63291644",2,2,1
"chr1:63289732","chr1:63305627",1,2,1
"chr1:63312632","chr1:63314254",13,4,2
"chr1:63312632","chr1:63317089",105,4,5
"chr1:63312802","chr1:63317089",1,2,5
"chr1:63320037","chr1:63329805",1,6,1
"chr1:63320037","chr1:63329838",1,6,1
"chr1:63320037","chr1:63334074",3,6,2
"chr1:63320037","chr1:63484370",2,6,3
"chr1:63612158","chr1:63624523",7,3,1
"chr1:63612158","chr1:63631766",3,3,5
"chr1:63624615","chr1:63631766",124,3,5
"chr1:63624615","chr1:63631776",1,3,1
"chr1:63788930","chr1:63790422",12,2,1
"chr1:63788930","chr1:63790427",1,2,1
"chr1:63884236","chr1:63922619",1,2,1
"chr1:63884236","chr1:63957184",2,2,1
"chr1:63973948","chr1:63974842",6,3,1
"chr1:63973948","chr1:63978659",53,3,3
"chr1:63978744","chr1:63980093",198,2,1
"chr1:63978744","chr1:63980096",54,2,1
"chr1:64003958","chr1:64006281",1,1,1
"chr1:64074924","chr1:64081472",180,3,1
"chr1:64074924","chr1:64117865",1,3,5
"chr1:64081597","chr1:64082024",6,9,1
"chr1:64081597","chr1:64107675",1,9,1
"chr1:64081597","chr1:64117842",1,9,1
"chr1:64081597","chr1:64117859",1,9,1
"chr1:64081597","chr1:64117862",139,9,1
"chr1:64081597","chr1:64117865",1935,9,5
"chr1:64081597","chr1:64160058",6,9,4
"chr1:64118494","chr1:64127562",1,3,1
"chr1:64118494","chr1:64160058",3,3,4
"chr1:64572180","chr1:64590007",2,3,1
"chr1:64572180","chr1:64597661",3,3,3
"chr1:64597809","chr1:64605375",3,2,3
"chr1:64615489","chr1:64617179",1,2,1
"chr1:64615489","chr1:64636392",2,2,1
"chr1:64760949","chr1:64761593",1,1,1
"chr1:65148736","chr1:65148992",8,2,1
"chr1:65148736","chr1:65149035",10,2,1
"chr1:65214528","chr1:65218148",1,1,1
"chr1:65231454","chr1:65231689",18,2,1
"chr1:65231454","chr1:65231692",17,2,1
"chr1:65244838","chr1:65245033",2,2,1
"chr1:65244838","chr1:65255092",3,2,1
"chr1:66214655","chr1:66232277",8,4,2
"chr1:66214655","chr1:66290820",19,4,4
"chr1:66232341","chr1:66290820",3,4,4
"chr1:66232341","chr1:66361562",1,4,6
"chr1:66290872","chr1:66361562",15,2,6
"chr1:66361494","chr1:66401361",2,2,3
"chr1:66438662","chr1:66440602",25,1,1
"chr1:66440681","chr1:66451565",19,3,2
"chr1:66440681","chr1:66451577",4,3,1
"chr1:66455710","chr1:66455890",5,1,1
"chr1:66456026","chr1:66459293",3,2,1
"chr1:66456026","chr1:66459296",1,2,1
"chr1:66530291","chr1:66542688",47,2,1
"chr1:66530291","chr1:66542823",1,2,1
"chr1:66693762","chr1:66708254",2,2,1
"chr1:66693762","chr1:66710744",1,2,1
"chr1:66722447","chr1:66724774",2,1,1
"chr1:66732963","chr1:66733523",1,3,1
"chr1:66732963","chr1:66734488",1,3,3
"chr1:66841328","chr1:66856496",1,2,1
"chr1:66841328","chr1:66856532",1,2,1
"chr1:67049206","chr1:67060016",35,1,1
"chr1:67073401","chr1:67077653",14,1,1
"chr1:68545655","chr1:68546283",1,2,1
"chr1:68545655","chr1:68553318",1,2,1
"chr1:72280663","chr1:72293082",8,1,1
"chr1:72304052","chr1:72308626",49,1,1
"chr1:72314127","chr1:72314811",2,1,1
"chr1:72323626","chr1:72332078",3,2,3
"chr1:72681432","chr1:72681602",1,3,1
"chr1:72681432","chr1:72681969",10,3,2
"chr1:72750483","chr1:72750830",2677,2,3
"chr1:72751384","chr1:72752340",14,4,1
"chr1:72751384","chr1:72752632",1,4,1
"chr1:72751384","chr1:72752660",15959,4,4
"chr1:73657826","chr1:73659352",2,3,1
"chr1:73657826","chr1:73659354",14,3,1
"chr1:73657826","chr1:73659401",1,3,1
"chr1:74285274","chr1:74287290",23,1,1
"chr1:74294174","chr1:74295116",23,3,1
"chr1:74294174","chr1:74301617",1,3,3
"chr1:74301745","chr1:74302901",1034,2,4
"chr1:74303003","chr1:74303511",459,2,2
"chr1:74325170","chr1:74326250",571,6,1
"chr1:74325170","chr1:74326296",3,6,1
"chr1:74325170","chr1:74326299",4,6,1
"chr1:74325170","chr1:74330847",1,6,1
"chr1:74325170","chr1:74386543",2,6,3
"chr1:74561587","chr1:74562662",1,1,1
"chr1:74595247","chr1:74596878",3,2,1
"chr1:74595247","chr1:74596932",1,2,1
"chr1:74617447","chr1:74618483",1,3,1
"chr1:74617447","chr1:74624542",1,3,4
