"junction","presence_in_cells","total_UMI"
"chr7:28051836-28051918_E",3166,25830
"chr8:71348354-71348559_S",3166,21167
"chr8:71348354-71348559_E",3166,21167
"chr7:15651465-15653772_S",3165,51800
"chr7:15651465-15653772_E",3165,51800
"chr4:115924370-115927059_S",3165,27858
"chr4:115924370-115927059_E",3165,27858
"chr15:102237253-102239707_E",3162,22563
"chr13:86193989-86194719_S",3161,29338
"chr13:86193989-86194719_E",3161,29338
"chr5:146771915-146772373_E",3158,24075
"chr1:72750960-72751300_E",3155,20249
"chr8:70347061-70347153_E",3153,20325
"chr2:38894201-38894743_S",3153,19772
"chr2:38894201-38894743_E",3153,19772
"chr15:82232242-82233043_S",3151,22325
"chr10:75695378-75695520_S",3146,33956
"chr4:117011185-117011495_S",3145,22400
"chr4:117011185-117011495_E",3145,22400
"chr16:84624884-84625312_E",3145,22128
"chr7:44775457-44775538_S",3144,20944
"chr7:44775457-44775538_E",3144,20944
"chr2:174303015-174304292_S",3141,23516
"chr2:174303015-174304292_E",3141,23516
"chr7:99128678-99129082_S",3137,21633
"chr7:3708919-3709649_S",3134,17483
"chr7:3708919-3709649_E",3134,17483
"chr15:5147186-5148048_E",3131,18467
"chr11:97669205-97672159_S",3130,19592
"chr11:97669205-97672159_E",3130,19592
"chr4:86773193-86774103_S",3128,19558
"chr4:86773193-86774103_E",3128,19558
"chr12:69205535-69205770_E",3127,18310
"chr3:28861008-28861335_E",3121,24619
"chr9:119960232-119960465_S",3121,18929
"chr6:124716377-124717481_S",3115,19550
"chr6:124716377-124717481_E",3115,19550
"chr19:7192850-7194763_S",3114,20359
"chr19:7192850-7194763_E",3114,20359
"chr11:115306706-115306840_S",3111,22428
"chr11:115306706-115306840_E",3111,22428
"chr7:117708417-117709155_S",3111,18179
"chr19:44538852-44541136_E",3110,21142
"chr7:141028688-141030916_S",3109,17928
"chr7:141028688-141030916_E",3109,17928
"chr10:79891934-79892019_S",3106,20571
"chr17:24043954-24046441_S",3106,20362
"chr17:24043954-24046441_E",3106,20362
"chr5:115483986-115486623_S",3105,19006
"chr19:47074487-47074572_S",3100,20865
"chr1:72751384-72752660_S",3100,15959
"chr1:72751384-72752660_E",3100,15959
"chr7:141031016-141031144_S",3098,19501
"chr7:141031016-141031144_E",3098,19501
"chr10:75773289-75773408_S",3097,40795
"chr10:75773289-75773408_E",3097,40795
"chr15:58809315-58811123_S",3097,19581
"chr15:58809315-58811123_E",3097,19581
"chr4:3834684-3834935_S",3094,18783
"chr4:3834684-3834935_E",3094,18783
"chr17:56921042-56921123_E",3093,16514
"chr16:84625438-84628216_S",3092,17377
"chr16:84625438-84628216_E",3092,17377
"chr19:6108603-6109173_S",3089,15780
"chr7:4797182-4797416_S",3087,18469
"chr4:132258135-132260606_S",3086,19999
"chr4:132258135-132260606_E",3086,19999
"chrX:105063310-105065351_S",3085,21126
"chr13:86193028-86193845_S",3082,17836
"chr18:60910962-60911502_S",3082,16248
"chr18:60910962-60911502_E",3082,16248
"chr1:55129962-55130228_S",3075,17402
"chr17:24941195-24941354_S",3073,17634
"chr17:24941195-24941354_E",3073,17634
"chr19:8955074-8955307_S",3069,15861
"chr19:8955074-8955307_E",3069,15861
"chr7:80993549-80994058_S",3066,16337
"chr13:67048891-67049465_S",3063,16837
"chr10:23661576-23661799_E",3063,15952
"chr15:82234573-82235179_S",3055,14868
"chr15:82234573-82235179_E",3055,14868
"chr11:4652221-4654156_S",3046,16321
"chr11:4652221-4654156_E",3046,16321
"chr9:40715992-40716227_S",3043,17880
"chr10:128461207-128461931_E",3042,14687
"chr2:25451075-25451862_S",3041,17113
"chr2:25451075-25451862_E",3041,17113
"chr7:4796626-4797062_S",3040,14805
"chr7:4796626-4797062_E",3040,14805
"chr17:24940689-24940776_S",3040,14083
"chr17:24940689-24940776_E",3040,14083
"chr12:72259352-72263544_S",3037,21208
"chr17:34048791-34057072_S",3037,15461
"chr17:34048791-34057072_E",3037,15461
"chr17:47997934-47998112_E",3037,15433
"chr7:59633243-59634772_S",3029,16345
"chr7:59633243-59634772_E",3029,16345
"chr6:39573530-39575199_S",3025,14405
"chr6:39573530-39575199_E",3025,14405
"chr13:73468180-73468412_S",3025,14267
"chr13:73468180-73468412_E",3025,14267
"chr7:121690187-121690808_E",3022,15126
"chr10:128384299-128384526_S",3018,13936
"chr10:128384299-128384526_E",3018,13936
"chrX:36346403-36347637_E",3013,13062
"chr9:57439076-57439564_S",3007,17942
"chr11:6369286-6369477_E",3003,19287
"chr8:84297628-84298061_E",3002,13180
"chr17:27850230-27851252_E",2998,14126
"chr10:80238990-80239969_S",2995,14391
"chr10:80238990-80239969_E",2995,14391
"chr6:72934636-72934895_E",2991,30897
"chr16:91722280-91722428_S",2989,14336
"chr9:120402884-120403160_S",2986,11765
"chr12:69204596-69205434_S",2981,11866
"chr12:69204596-69205434_E",2981,11866
"chr7:97056217-97056825_S",2977,13189
"chr7:97056217-97056825_E",2977,13189
"chr17:57028442-57028984_S",2972,13594
"chr17:57028442-57028984_E",2972,13594
"chr7:126394687-126394784_S",2971,16947
"chr7:126394687-126394784_E",2971,16947
"chr10:128460506-128461075_S",2971,12067
"chr10:128460506-128461075_E",2971,12067
"chr15:34440751-34441377_S",2969,12193
"chr15:34440751-34441377_E",2969,12193
"chr5:108581947-108582191_S",2969,11976
"chr5:108581947-108582191_E",2969,11976
"chr11:101336157-101336264_S",2967,12713
"chr11:101336157-101336264_E",2967,12713
"chr19:6884320-6884433_S",2960,13457
"chr19:6884320-6884433_E",2960,13457
"chr3:32802717-32805177_E",2960,12191
"chr6:6558492-6560407_S",2959,11305
"chrX:7788754-7789146_S",2957,12987
"chrX:7788754-7789146_E",2957,12987
"chr2:32853596-32853752_S",2955,13063
"chr2:32853596-32853752_E",2955,13063
"chr4:138831324-138832300_S",2955,12444
"chr4:138831324-138832300_E",2955,12444
"chr7:28051699-28051787_S",2951,11120
"chr9:44319381-44319982_S",2951,10618
"chrX:133487328-133488199_E",2949,11444
"chr1:165307148-165308471_S",2940,12966
"chr1:165307148-165308471_E",2940,12966
"chr3:86045900-86046346_S",2939,10983
"chr3:86045900-86046346_E",2939,10983
"chr1:16172161-16172713_E",2938,11520
"chr7:12660422-12660498_S",2938,10391
"chr10:128328006-128328097_S",2932,15106
"chr11:74581437-74590136_S",2929,11564
"chr11:74581437-74590136_E",2929,11564
"chr3:90120061-90120240_S",2928,10705
"chr3:90120061-90120240_E",2928,10705
"chr5:65546495-65546820_S",2918,9998
"chr5:65546495-65546820_E",2918,9998
"chr17:56920681-56920906_S",2918,9915
"chr17:56920681-56920906_E",2918,9915
"chr3:51313041-51314756_E",2914,10877
"chr17:31740667-31750083_S",2913,11945
"chr17:31740667-31750083_E",2913,11945
"chr15:35935560-35937300_S",2910,11451
"chr15:35935560-35937300_E",2910,11451
"chr2:73739052-73739527_S",2899,13613
"chr2:73739052-73739527_E",2899,13613
"chr6:24518824-24519190_S",2898,11430
"chr6:24518824-24519190_E",2898,11430
"chr11:100211656-100211773_S",2891,10054
"chr11:100211656-100211773_E",2891,10054
"chr14:54473171-54480155_S",2875,9871
"chrX:20481782-20481952_S",2875,9516
"chrX:20481782-20481952_E",2875,9516
"chr7:45369912-45370137_E",2873,10927
"chr3:8620044-8625325_E",2871,18043
"chr19:47074669-47079011_S",2863,10701
"chr19:47074669-47079011_E",2863,10701
"chr17:24046548-24047817_S",2863,10113
"chr17:24046548-24047817_E",2863,10113
"chr9:79663644-79665771_S",2857,10105
"chr9:79663644-79665771_E",2857,10105
"chr7:139649947-139650224_E",2853,12166
"chr1:92565126-92567408_S",2842,9973
"chr1:92565126-92567408_E",2842,9973
"chr4:117011626-117011834_S",2842,9541
"chr4:117011626-117011834_E",2842,9541
"chr2:28102700-28104112_S",2841,16289
"chr4:155917255-155917347_S",2841,9297
"chr4:155917255-155917347_E",2841,9297
"chr17:45881493-45881591_E",2839,11049
"chr11:93850340-93851493_S",2833,11990
"chr11:93850340-93851493_E",2833,11990
"chr16:38167570-38169602_S",2833,9353
"chr16:38167570-38169602_E",2833,9353
"chr13:91071866-91072444_S",2829,8645
"chr13:91071866-91072444_E",2829,8645
"chr1:63218533-63218616_E",2824,9398
"chr7:27354520-27355335_E",2816,15817
"chr15:11984384-11986541_S",2801,9642
"chr8:94879719-94880528_S",2793,16406
"chr8:94879719-94880528_E",2793,16406
"chr11:68793269-68794004_S",2779,8024
"chr11:68793269-68794004_E",2779,8024
"chr7:80992598-80993482_E",2775,8705
"chr6:50542366-50542471_E",2768,9194
"chr3:88457312-88458002_S",2767,7943
"chr3:88457312-88458002_E",2767,7943
"chr3:51314834-51315565_S",2764,8610
"chr12:101935897-101941918_S",2763,8754
"chr12:101935897-101941918_E",2763,8754
"chr3:30855315-30863970_S",2761,8748
"chr4:116493867-116494958_S",2760,8913
"chr2:26802814-26802999_S",2754,8257
"chr2:26802814-26802999_E",2754,8257
"chr6:11905262-11906018_S",2746,8586
"chr6:11905262-11906018_E",2746,8586
"chr8:120072473-120074774_S",2742,8786
"chr8:120072473-120074774_E",2742,8786
"chr5:34141241-34141395_S",2733,7841
"chr5:34141241-34141395_E",2733,7841
"chr1:36731366-36731531_S",2731,8595
"chr2:179899645-179899778_S",2729,8091
"chr4:117741839-117742300_S",2727,7670
"chr2:179899241-179899413_S",2718,8048
"chr2:179899241-179899413_E",2718,8048
"chrX:36451395-36453526_S",2716,7713
"chrX:36451395-36453526_E",2716,7713
"chr7:3622507-3622999_S",2716,7509
"chr7:3622507-3622999_E",2716,7509
"chr15:81358130-81359286_E",2715,7569
"chr4:41769655-41769843_S",2709,9570
"chr4:41769655-41769843_E",2709,9570
"chr4:40936677-40937131_S",2708,8205
"chr16:38169692-38172987_S",2708,7919
"chr16:38169692-38172987_E",2708,7919
"chr11:114559436-114559606_S",2701,7658
"chr11:114559436-114559606_E",2701,7658
"chr5:137011272-137011371_S",2700,7779
"chr5:137011272-137011371_E",2700,7779
"chrX:133488323-133488685_E",2699,7384
"chr11:55337611-55341282_S",2694,7872
"chr11:55337611-55341282_E",2694,7872
"chr5:65545785-65545904_S",2694,7483
"chr5:65545785-65545904_E",2694,7483
"chr10:80091847-80092469_S",2690,7582
"chr19:5852100-5852182_S",2678,10338
"chr9:57437646-57438951_S",2677,9040
"chr9:57437646-57438951_E",2677,9040
"chr6:136148881-136149862_S",2667,7884
"chr6:136148881-136149862_E",2667,7884
"chr2:26803070-26803176_S",2664,7827
"chr9:61821245-61821638_S",2660,7230
"chr9:61821245-61821638_E",2660,7230
"chr9:20556956-20557911_S",2644,7102
"chr9:20556956-20557911_E",2644,7102
"chr7:109119201-109119674_S",2644,6604
"chr7:109119201-109119674_E",2644,6604
"chr6:24519257-24522657_S",2639,7349
"chr6:24519257-24522657_E",2639,7349
"chr7:140771108-140771254_S",2637,8740
"chr7:140771108-140771254_E",2637,8740
"chr2:32853079-32853508_S",2630,7451
"chr9:44321350-44321442_E",2630,6744
"chr1:191039287-191042115_S",2622,6882
"chr1:191039287-191042115_E",2622,6882
"chr2:179899851-179900022_S",2615,7022
"chr9:108907494-108911069_S",2610,6977
"chr9:108907494-108911069_E",2610,6977
"chr7:3620407-3620615_S",2608,6483
"chr7:3620407-3620615_E",2608,6483
"chr17:25937773-25937900_S",2597,8545
"chr16:90022151-90023037_E",2596,7279
"chr15:103439888-103440752_S",2595,8699
"chr15:103439888-103440752_E",2595,8699
"chr7:3439882-3442557_E",2590,8899
"chr3:130520609-130522396_S",2582,6210
"chr11:69255631-69259961_S",2577,6662
"chr11:69255631-69259961_E",2577,6662
"chr11:93840873-93842725_S",2572,6937
"chr11:93840873-93842725_E",2572,6937
"chr16:42069478-42112161_S",2564,8582
"chr16:42069478-42112161_E",2564,8582
"chr4:152414586-152416736_S",2564,6112
"chr11:114562683-114563090_E",2562,6688
"chr5:115436893-115438571_S",2559,7418
"chr5:115436893-115438571_E",2559,7418
"chr7:44775962-44776132_S",2559,5956
"chr7:44775962-44776132_E",2559,5956
"chr2:121280565-121281201_S",2556,6463
"chr1:37936916-37937141_S",2552,6221
"chr1:171184397-171185417_S",2539,6154
"chr1:171184397-171185417_E",2539,6154
"chr7:115930819-115931613_E",2539,6049
"chr12:31762561-31763498_S",2532,8846
"chr12:31762561-31763498_E",2532,8846
"chr10:98823008-98823102_S",2530,8240
"chr5:24044827-24046707_E",2528,6482
"chr15:51650222-51651301_S",2516,5725
"chr15:51650222-51651301_E",2516,5725
"chr7:44772383-44772586_S",2510,5927
"chr7:30322941-30323924_S",2508,6289
"chr7:30322941-30323924_E",2508,6289
"chr15:93284168-93285457_S",2505,5666
"chr15:93284168-93285457_E",2505,5666
"chr14:24543562-24545497_S",2498,6034
"chr14:24543562-24545497_E",2498,6034
"chr17:24027148-24027327_E",2497,6147
"chr5:34141485-34142241_E",2497,5699
"chr2:151401541-151402540_E",2494,6731
"chr8:70957160-70957633_S",2494,6014
"chr8:70957160-70957633_E",2494,6014
"chr5:147809470-147812273_E",2490,6158
"chr11:69730095-69730191_S",2490,6078
"chr11:69730095-69730191_E",2490,6078
"chr16:94226048-94227009_E",2485,6412
"chr13:55841161-55846885_E",2477,5916
"chr17:66386583-66387805_S",2476,5997
"chr17:66386583-66387805_E",2476,5997
"chr7:16650902-16650999_S",2474,6797
"chr16:96295068-96326589_S",2473,8302
"chr16:96295068-96326589_E",2473,8302
"chr4:57943968-57945146_S",2473,6318
"chr4:57943968-57945146_E",2473,6318
"chr5:108581204-108581596_S",2462,6431
"chr5:108581204-108581596_E",2462,6431
"chr5:108581696-108581891_S",2458,6177
"chr5:108581696-108581891_E",2458,6177
"chr7:141027945-141028638_S",2458,5675
"chr12:101934470-101935751_S",2456,5933
"chr2:179678367-179678730_S",2456,5733
"chr2:179678367-179678730_E",2456,5733
"chr9:121319268-121323382_S",2450,11981
"chr9:121319268-121323382_E",2450,11981
"chr10:95316840-95326107_S",2448,5328
"chr10:95316840-95326107_E",2448,5328
"chr7:30427329-30427411_S",2442,5795
"chr7:30427329-30427411_E",2442,5795
"chr11:97920342-97920600_S",2442,5555
"chr19:46519826-46530790_S",2438,5583
"chr9:121678756-121679253_S",2436,5894
"chr1:58630409-58634807_E",2435,5930
"chr2:174304423-174305757_S",2434,5974
"chr2:174304423-174305757_E",2434,5974
"chr8:70962033-70962170_S",2427,5153
"chr2:32169144-32170720_S",2425,5705
"chr8:124100804-124108138_S",2424,6575
"chr8:124100804-124108138_E",2424,6575
"chr17:27344191-27344857_S",2421,5622
"chr17:27344191-27344857_E",2421,5622
"chr12:111927973-111928866_S",2410,6111
"chr5:145121459-145123935_S",2403,5552
"chr5:145121459-145123935_E",2403,5552
"chr4:135778614-135778924_E",2387,5000
"chr11:95937181-95938020_S",2381,5308
"chr11:95937181-95938020_E",2381,5308
"chr19:5473054-5473358_S",2372,5491
"chr19:5473054-5473358_E",2372,5491
"chr4:40270848-40272809_S",2367,5823
"chr4:40270848-40272809_E",2367,5823
"chr9:20556786-20556917_S",2367,5336
"chr9:20556786-20556917_E",2367,5336
"chr4:116495046-116495172_S",2367,5289
"chr4:116495046-116495172_E",2367,5289
"chr11:108231504-108234320_S",2365,6128
"chr7:24669435-24669511_S",2363,5761
"chr7:24669435-24669511_E",2363,5761
"chr16:94240209-94243329_E",2360,5355
"chr4:135777328-135777590_E",2360,5123
"chr7:117714088-117714331_E",2344,4750
"chr11:59075014-59075261_E",2342,5103
"chr12:100169978-100171871_S",2341,5688
"chr12:100169978-100171871_E",2341,5688
"chr4:47480233-47482974_S",2330,4747
"chr4:47480233-47482974_E",2330,4747
"chr17:56914842-56915637_S",2329,4794
"chr12:28683832-28684207_S",2328,4814
"chr12:28683832-28684207_E",2328,4814
"chr8:71821948-71822170_E",2311,4821
"chr5:136994525-136994770_S",2306,4757
"chr5:136994525-136994770_E",2306,4757
"chr7:80994165-80994604_S",2303,4626
"chr7:80994165-80994604_E",2303,4626
"chr10:80664631-80664704_S",2299,4760
"chr10:80664631-80664704_E",2299,4760
"chr16:91722516-91723346_S",2292,5146
"chr16:91722516-91723346_E",2292,5146
"chr1:133531815-133534238_S",2289,4532
"chr17:15696468-15697576_S",2284,4824
"chr17:34158086-34158512_E",2278,4996
"chr15:76229778-76229854_E",2277,4780
"chr15:79035608-79035788_E",2263,4811
"chr2:155089859-155091840_S",2259,4821
"chr2:155089859-155091840_E",2259,4821
"chr7:28672083-28673573_E",2259,4516
"chr7:45369443-45369717_S",2258,4656
"chr19:3959075-3959152_S",2257,4991
"chr6:39575296-39576325_S",2254,4665
"chr6:39575296-39576325_E",2254,4665
"chr2:119531747-119535919_S",2251,4568
"chr2:119531747-119535919_E",2251,4568
"chr15:5146167-5146768_S",2241,4272
"chr15:5146167-5146768_E",2241,4272
"chr15:35937431-35938270_S",2234,4562
"chr16:35864462-35866748_S",2233,4894
"chr16:35864462-35866748_E",2233,4894
"chr10:75772280-75773140_S",2232,6021
"chr15:90881929-90882035_E",2229,4827
"chr1:131852380-131855801_S",2229,4638
"chr16:4434498-4434676_S",2226,4397
"chr11:114559453-114559606_S",2222,4355
"chr11:114559453-114559606_E",2222,4355
"chr14:4199790-4200379_E",2210,4163
"chr11:106153518-106153622_S",2208,4534
"chr11:106153518-106153622_E",2208,4534
"chr13:98446710-98447488_S",2208,4389
"chr10:98823229-98826923_S",2206,5520
"chr17:27927042-27927399_E",2204,5179
"chr17:25936556-25937640_S",2197,4915
"chr17:25936556-25937640_E",2197,4915
"chr11:115306904-115307678_S",2197,4489
"chr11:115306904-115307678_E",2197,4489
"chr5:23733061-23745372_S",2197,4463
"chr11:78430872-78431720_S",2196,4277
"chr5:4006313-4007623_S",2195,4267
"chr17:37260447-37260768_S",2193,4451
"chr12:79203346-79204621_S",2190,4232
"chr18:69815895-69816147_S",2188,4853
"chr18:69815895-69816147_E",2188,4853
"chr11:29496423-29496702_S",2188,4297
"chr11:29496423-29496702_E",2188,4297
"chr18:10627018-10627793_S",2184,4537
"chr18:10627018-10627793_E",2184,4537
"chr8:84298565-84298641_S",2181,4849
"chr8:84298565-84298641_E",2181,4849
"chr15:37001168-37002082_S",2180,4570
"chr15:37001168-37002082_E",2180,4570
"chr10:80688935-80689591_S",2176,4017
"chr10:80688935-80689591_E",2176,4017
"chr4:3835010-3835191_E",2175,4217
"chr17:66171728-66174526_S",2172,4335
"chr17:66171728-66174526_E",2172,4335
"chr15:103439377-103439780_S",2171,5139
"chr15:103439377-103439780_E",2171,5139
"chr17:66387883-66390392_S",2162,4181
"chr17:66387883-66390392_E",2162,4181
"chr1:143620962-143622245_S",2156,4303
"chr1:143620962-143622245_E",2156,4303
"chr17:27157151-27157391_S",2154,4150
"chr17:27782991-27783122_S",2152,4616
"chr17:27782991-27783122_E",2152,4616
"chr1:167200212-167201361_S",2151,5099
"chr1:167200212-167201361_E",2151,5099
"chr2:180948617-180949008_S",2151,4960
"chr2:180948617-180949008_E",2151,4960
"chr3:90120609-90120916_S",2150,3822
"chr3:90120609-90120916_E",2150,3822
"chr4:119135565-119136130_S",2148,4207
"chr4:119135565-119136130_E",2148,4207
"chrX:133486933-133487259_S",2144,4127
"chrX:133486933-133487259_E",2144,4127
"chr7:45111391-45112822_S",2141,3902
"chr7:45111391-45112822_E",2141,3902
"chr6:89360331-89361585_S",2137,4497
"chr6:89360331-89361585_E",2137,4497
"chr12:4876897-4877013_S",2136,4174
"chr12:4876897-4877013_E",2136,4174
"chrX:36453617-36454641_S",2135,4166
"chr10:93419393-93419891_S",2122,3743
"chr14:78063911-78077607_S",2119,4112
"chr14:78063911-78077607_E",2119,4112
"chr13:114425403-114444352_S",2118,4049
"chr2:10061618-10063806_S",2112,4069
"chr2:10061618-10063806_E",2112,4069
"chr7:24588387-24589165_S",2111,3896
"chr7:24588387-24589165_E",2111,3896
"chr12:111506737-111506894_S",2099,4057
"chr8:61358755-61360370_S",2099,3921
"chr8:61358755-61360370_E",2099,3921
"chr17:57028128-57028318_S",2094,4097
"chr17:57028128-57028318_E",2094,4097
"chr14:55900083-55900871_S",2085,3661
"chr1:78585581-78762585_S",2076,3837
"chr1:78585581-78762585_E",2076,3837
"chr4:41715260-41715395_S",2052,3962
"chr1:163610686-163621517_S",2049,4000
"chr10:23661172-23661473_E",2042,3704
"chr16:91444873-91448517_S",2037,3562
"chr16:91444873-91448517_E",2037,3562
"chr5:31064111-31064742_E",2034,3486
"chr5:118197555-118199666_E",2030,4890
"chr15:76789237-76790055_S",2030,3672
"chr4:154981055-154981496_S",2029,3768
"chr18:36877341-36877472_E",2028,3751
"chr12:111929788-111933357_S",2025,4051
"chr12:111929788-111933357_E",2025,4051
"chr5:73481191-73483623_S",2012,4425
"chr5:73481191-73483623_E",2012,4425
"chr7:30261560-30261748_S",2009,3499
"chr4:130207849-130208964_S",2006,3887
"chr4:130207849-130208964_E",2006,3887
"chr6:96090568-96092614_S",1998,7854
"chr6:96090568-96092614_E",1998,7854
"chr17:24941495-24941628_S",1998,3634
"chr17:24941495-24941628_E",1998,3634
"chr5:31773832-31779720_S",1998,3498
"chr5:31773832-31779720_E",1998,3498
"chr19:5013694-5014701_S",1988,3525
"chr19:5013694-5014701_E",1988,3525
"chr11:97602106-97603262_S",1985,3731
"chr11:97602106-97603262_E",1985,3731
"chr10:81100832-81101484_S",1977,3519
"chr10:81100832-81101484_E",1977,3519
"chr3:30847533-30854279_S",1977,3516
"chr3:30847533-30854279_E",1977,3516
"chr9:20556556-20556701_S",1973,3494
"chr9:20556556-20556701_E",1973,3494
"chr7:141053318-141054940_S",1964,3497
"chr10:80240121-80242529_S",1961,3585
"chr10:80240121-80242529_E",1961,3585
"chr11:70129297-70129763_S",1957,3571
"chr12:65109515-65110451_E",1951,3566
"chr14:20753477-20754188_S",1951,3378
"chr14:20753477-20754188_E",1951,3378
"chr13:14799846-14799933_S",1950,3548
"chr4:150981929-150985464_S",1949,3724
"chr4:150981929-150985464_E",1949,3724
"chr7:45353303-45353912_S",1949,3631
"chr7:45353303-45353912_E",1949,3631
"chr11:119990085-119990999_E",1949,3432
"chr14:54666106-54667038_E",1942,3306
"chr9:112013379-112014676_S",1941,5710
"chr9:112013379-112014676_E",1941,5710
"chr5:24046757-24048968_S",1926,3391
"chr18:25612769-25619850_S",1924,3604
"chr18:25612769-25619850_E",1924,3604
"chr10:108738177-108846436_S",1923,3889
"chr10:108738177-108846436_E",1923,3889
"chr5:65751892-65752217_E",1921,3449
"chr1:16713703-16715909_S",1919,3205
"chr1:16713703-16715909_E",1919,3205
"chr10:80090971-80091757_E",1915,3329
"chr3:10080634-10081126_S",1905,3674
"chr3:10080634-10081126_E",1905,3674
"chr17:34042091-34042166_S",1903,3284
"chr17:34042091-34042166_E",1903,3284
"chr13:105088091-105100591_S",1901,3520
"chr13:105088091-105100591_E",1901,3520
"chr11:69254970-69255517_S",1893,3377
"chr11:59095584-59096474_E",1886,3017
"chr18:75134872-75135094_E",1873,3055
"chr2:180829894-180829974_S",1868,3145
"chr15:34441509-34442780_S",1868,3018
"chr15:34441509-34442780_E",1868,3018
"chr5:24797803-24798014_S",1867,3078
"chr5:24797803-24798014_E",1867,3078
"chr5:122543242-122543931_S",1866,3787
"chr5:122543242-122543931_E",1866,3787
"chr3:95770245-95777805_S",1865,3104
"chr3:95770245-95777805_E",1865,3104
"chr19:45565535-45565909_S",1864,3150
"chr19:45565535-45565909_E",1864,3150
"chr7:90100144-90100750_S",1863,3069
"chr16:36707766-36707918_S",1854,3123
"chr7:117709242-117714007_S",1838,3039
"chr7:117709242-117714007_E",1838,3039
"chr11:21507569-21508461_S",1837,3697
"chr15:99600380-99600986_S",1834,3178
"chr15:99600380-99600986_E",1834,3178
"chr4:63466923-63468181_E",1823,3149
"chr5:148985724-148986536_E",1822,3395
"chr10:108526925-108666966_S",1822,3214
"chr10:108526925-108666966_E",1822,3214
"chr6:36692698-36718212_S",1820,4986
"chr15:76506551-76506670_E",1818,3077
"chr4:117012305-117012767_S",1811,3023
"chr2:90725222-90728727_S",1805,2989
"chr2:90725222-90728727_E",1805,2989
"chr10:128755977-128756427_S",1804,3099
"chr10:128755977-128756427_E",1804,3099
"chr3:158158427-158266742_S",1803,2983
"chr3:158158427-158266742_E",1803,2983
"chr17:27849481-27850173_S",1799,3072
"chr17:27849481-27850173_E",1799,3072
"chr10:23661903-23662661_S",1799,2862
"chr10:23661903-23662661_E",1799,2862
"chr7:3620691-3622428_S",1794,2993
"chr7:3620691-3622428_E",1794,2993
"chr17:31866330-31866976_S",1792,2863
"chr2:179899477-179899580_E",1791,3008
"chr1:178149571-178150045_E",1791,2918
